customer_id,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_Segment,RFM_Score
100019,80,11,26871.44,2,3,3,233,8
100097,32,7,12770.32,3,1,1,311,5
100193,11,10,34422.99,4,2,4,424,10
100255,43,14,40696.74,3,4,4,344,11
100278,1,14,23896.12,4,4,2,442,10
100381,40,6,9921.7,3,1,1,311,5
100616,82,13,22866.32,2,4,2,242,8
100632,45,12,27252.34,3,3,3,333,9
100682,28,15,35798.94,3,4,4,344,11
100794,40,5,16814.370000000003,3,1,1,311,5
101105,113,7,18990.65,1,1,2,112,4
101335,51,8,17742.7,3,1,1,311,5
101376,23,12,34648.37,3,3,4,334,10
101530,2,11,25127.67,4,3,3,433,10
101603,9,10,23676.93,4,2,2,422,8
102033,120,9,17199.67,1,2,1,121,4
102060,116,12,22483.97,1,3,2,132,6
102097,40,18,45547.01,3,4,4,344,11
102297,56,12,31721.14,2,3,4,234,9
102390,7,12,28504.63,4,3,3,433,10
102508,80,15,41908.18,2,4,4,244,10
102561,318,8,18193.59,1,1,1,111,3
102577,260,9,29251.510000000002,1,2,3,123,6
102740,33,10,24406.75,3,2,3,323,8
102781,70,9,26228.86,2,2,3,223,7
102783,49,10,28965.73,3,2,3,323,8
102804,132,9,16527.739999999998,1,2,1,121,4
102924,28,14,30480.41,3,4,3,343,10
102953,120,10,33594.82,1,2,4,124,7
103037,32,13,39033.44,3,4,4,344,11
103218,66,6,19536.2,2,1,2,212,5
103567,78,7,20925.18,2,1,2,212,5
103602,77,8,21386.829999999998,2,1,2,212,5
103799,1,12,32286.32,4,3,4,434,11
103853,21,13,29982.28,4,4,3,443,11
104036,98,7,14482.259999999998,2,1,1,211,4
104042,1,10,28762.72,4,2,3,423,9
104322,105,10,28229.96,1,2,3,123,6
104393,96,14,40745.43,2,4,4,244,10
104501,111,9,25041.329999999998,1,2,3,123,6
104531,51,11,22862.03,3,3,2,332,8
104580,1,12,32227.48,4,3,4,434,11
104668,65,12,38061.58,2,3,4,234,9
104678,1,8,18556.14,4,1,2,412,7
104688,34,13,29596.41,3,4,3,343,10
104701,47,12,37171.77,3,3,4,334,10
104823,22,14,36076.41,4,4,4,444,12
104921,64,12,21757.64,2,3,2,232,7
105012,134,8,25218.5,1,1,3,113,5
105016,57,8,16676.52,2,1,1,211,4
105210,26,7,28642.63,3,1,3,313,7
105268,31,6,15694.73,3,1,1,311,5
105277,138,6,18994.18,1,1,2,112,4
105360,69,10,22167.47,2,2,2,222,6
105436,28,6,15830.619999999999,3,1,1,311,5
105532,9,13,38961.92,4,4,4,444,12
105654,1,17,48969.81,4,4,4,444,12
105699,68,9,25250.329999999998,2,2,3,223,7
105870,249,5,9925.79,1,1,1,111,3
106031,165,11,24353.19,1,3,3,133,7
106040,179,11,28859.43,1,3,3,133,7
106180,184,10,22554.51,1,2,2,122,5
106343,60,12,33942.84,2,3,4,234,9
106489,26,10,34079.31,3,2,4,324,9
106574,26,8,16684.9,3,1,1,311,5
106618,122,12,28189.21,1,3,3,133,7
106623,60,9,23034.91,2,2,2,222,6
106738,15,8,17628.7,4,1,1,411,6
106771,4,12,23828.18,4,3,2,432,9
106815,188,8,17043.86,1,1,1,111,3
106833,199,9,19651.649999999998,1,2,2,122,5
106863,19,7,23408.6,4,1,2,412,7
106886,5,13,37611.72,4,4,4,444,12
106922,102,10,18414.550000000003,2,2,1,221,5
106951,69,10,31208.670000000002,2,2,4,224,8
107052,2,14,39698.55,4,4,4,444,12
107146,3,7,15153.109999999999,4,1,1,411,6
107389,26,10,28533.08,3,2,3,323,8
107429,6,13,36234.04,4,4,4,444,12
107500,26,14,22371.39,3,4,2,342,9
107514,12,15,44132.39,4,4,4,444,12
107584,186,11,30538.199999999997,1,3,3,133,7
107687,77,11,23288.61,2,3,2,232,7
107782,17,11,16793.86,4,3,1,431,8
107793,23,10,27664.07,3,2,3,323,8
108022,22,9,27093.85,4,2,3,423,9
108081,1,9,19163.48,4,2,2,422,8
108145,52,7,15046.060000000001,2,1,1,211,4
108283,6,9,21710.72,4,2,2,422,8
108313,13,5,11401.2,4,1,1,411,6
108389,5,14,36059.3,4,4,4,444,12
108455,157,8,15277.599999999999,1,1,1,111,3
108576,111,5,13213.039999999999,1,1,1,111,3
108590,9,12,28631.7,4,3,3,433,10
108639,132,10,28711.89,1,2,3,123,6
108656,26,7,12114.72,3,1,1,311,5
108819,35,11,30015.86,3,3,3,333,9
108857,18,9,20773.85,4,2,2,422,8
108868,34,8,19362.05,3,1,2,312,6
108880,20,15,31054.88,4,4,4,444,12
109013,89,10,17400.3,2,2,1,221,5
109061,7,11,27812.64,4,3,3,433,10
109088,39,14,41190.96,3,4,4,344,11
109113,18,12,30667.74,4,3,3,433,10
109122,2,11,30723.27,4,3,3,433,10
109146,29,8,19072.41,3,1,2,312,6
109464,58,7,20202.27,2,1,2,212,5
109468,43,8,15167.609999999999,3,1,1,311,5
109590,78,10,22293.37,2,2,2,222,6
109614,31,10,21040.45,3,2,2,322,7
109631,126,7,21448.3,1,1,2,112,4
109662,44,15,32267.280000000002,3,4,4,344,11
109773,33,13,38153.23,3,4,4,344,11
109818,222,12,28043.71,1,3,3,133,7
109969,246,8,29513.06,1,1,3,113,5
110083,31,17,35938.18,3,4,4,344,11
110085,8,16,45917.700000000004,4,4,4,444,12
110093,49,12,18504.23,3,3,1,331,7
110114,222,10,22447.55,1,2,2,122,5
110117,21,8,18059.53,4,1,1,411,6
110155,97,9,27935.22,2,2,3,223,7
110194,22,8,27521.05,4,1,3,413,8
110220,8,11,21770.35,4,3,2,432,9
110232,5,16,53983.590000000004,4,4,4,444,12
110362,139,9,25079.96,1,2,3,123,6
110378,18,10,24555.03,4,2,3,423,9
110451,31,7,11103.85,3,1,1,311,5
110509,40,9,27913.39,3,2,3,323,8
110543,10,13,35577.35,4,4,4,444,12
110560,26,11,30138.7,3,3,3,333,9
110680,182,8,22705.62,1,1,2,112,4
110959,130,11,29667.4,1,3,3,133,7
111038,93,9,27325.0,2,2,3,223,7
111088,215,4,13402.83,1,1,1,111,3
111143,53,12,29957.670000000002,2,3,3,233,8
111171,103,9,18777.04,1,2,2,122,5
111362,122,5,15195.37,1,1,1,111,3
111407,63,8,20151.5,2,1,2,212,5
111536,7,8,18138.54,4,1,1,411,6
111628,156,11,29820.39,1,3,3,133,7
111666,12,10,26762.53,4,2,3,423,9
111832,11,12,30545.19,4,3,3,433,10
111876,104,5,14796.099999999999,1,1,1,111,3
112160,59,8,19984.93,2,1,2,212,5
112206,236,4,10943.07,1,1,1,111,3
112211,32,11,33084.81,3,3,4,334,10
112291,5,8,26346.84,4,1,3,413,8
112297,239,11,20748.01,1,3,2,132,6
112402,212,9,19005.239999999998,1,2,2,122,5
112460,85,11,23978.78,2,3,2,232,7
112480,41,5,10730.69,3,1,1,311,5
112496,32,5,8790.69,3,1,1,311,5
112650,61,12,32355.01,2,3,4,234,9
112683,77,11,30406.81,2,3,3,233,8
112749,16,7,11604.77,4,1,1,411,6
112766,126,5,12404.04,1,1,1,111,3
112871,56,10,30691.1,2,2,3,223,7
113079,85,14,25634.690000000002,2,4,3,243,9
113087,29,16,41469.39,3,4,4,344,11
113210,83,17,57566.51,2,4,4,244,10
113244,33,12,28238.54,3,3,3,333,9
113288,58,13,33475.74,2,4,4,244,10
113311,79,10,29721.34,2,2,3,223,7
113611,139,10,29074.56,1,2,3,123,6
113621,87,15,28200.29,2,4,3,243,9
113622,18,10,21171.71,4,2,2,422,8
113970,22,11,30098.449999999997,4,3,3,433,10
114117,116,9,20732.11,1,2,2,122,5
114417,27,13,43643.34,3,4,4,344,11
114433,15,11,25849.6,4,3,3,433,10
114571,45,9,21533.43,3,2,2,322,7
114611,37,13,39275.17,3,4,4,344,11
114684,10,11,33949.26,4,3,4,434,11
114761,67,12,29406.53,2,3,3,233,8
114943,104,7,15883.689999999999,1,1,1,111,3
114945,57,12,33487.1,2,3,4,234,9
114965,201,4,13808.6,1,1,1,111,3
115232,20,11,21996.58,4,3,2,432,9
115249,14,8,22767.559999999998,4,1,2,412,7
115290,12,10,24965.95,4,2,3,423,9
115310,46,8,21107.88,3,1,2,312,6
115334,7,16,41161.19,4,4,4,444,12
115472,60,15,37481.88,2,4,4,244,10
115624,17,9,27233.79,4,2,3,423,9
115672,33,8,13821.400000000001,3,1,1,311,5
115673,74,8,24087.4,2,1,2,212,5
116074,75,12,28565.18,2,3,3,233,8
116096,4,21,51126.35,4,4,4,444,12
116108,100,8,16458.56,2,1,1,211,4
116138,115,12,36469.87,1,3,4,134,8
116177,39,11,27346.73,3,3,3,333,9
116199,48,10,25828.05,3,2,3,323,8
116204,93,12,36087.11,2,3,4,234,9
116269,20,12,33228.08,4,3,4,434,11
116330,300,6,9534.06,1,1,1,111,3
