customer_id,age,region,join_date
961341,50,East,2024-01-20
675489,72,North,2024-10-21
101530,70,North,2023-01-01
121204,75,North,2024-05-16
120672,32,South,2020-12-04
953484,74,North,2022-08-17
179117,48,South,2024-03-29
488068,32,West,2022-05-02
618827,68,South,2024-09-30
590061,67,North,2021-05-29
702906,36,South,2024-03-23
530289,60,West,2023-04-05
952015,55,East,2023-05-30
954512,41,East,2020-05-29
208136,51,West,2024-09-23
642218,66,North,2024-07-12
898090,33,East,2022-06-24
608205,70,West,2022-10-25
657768,41,West,2020-05-24
837292,74,North,2021-08-08
738510,22,North,2020-12-06
756443,77,East,2024-08-07
271231,64,South,2022-11-02
956835,52,North,2024-06-17
391876,27,West,2020-03-23
255046,46,West,2023-01-02
850106,30,East,2024-11-30
957555,28,West,2024-07-01
667310,47,West,2021-11-10
460070,35,East,2024-12-11
313206,31,North,2024-03-25
866445,37,South,2021-03-06
509844,33,South,2024-11-04
802837,64,North,2024-03-21
546719,55,East,2021-09-20
160586,42,West,2024-11-27
429776,39,North,2024-01-13
713219,46,West,2020-04-07
522951,18,West,2024-05-23
546729,69,South,2022-08-02
491194,18,North,2020-12-12
883738,50,South,2024-06-30
343839,65,South,2022-08-01
646271,55,West,2024-10-13
941313,25,East,2021-04-06
459135,21,East,2021-05-16
257739,74,North,2022-02-28
347716,55,West,2025-01-01
687748,42,North,2024-10-11
374679,54,East,2022-05-12
353377,70,South,2021-11-25
106180,31,East,2022-08-18
263399,34,West,2023-11-19
841633,38,East,2023-06-24
491128,40,South,2022-04-08
464039,23,East,2025-01-06
416498,66,North,2020-09-23
609878,50,East,2022-03-27
549521,42,North,2020-11-21
906653,26,South,2024-08-02
486408,73,East,2022-02-11
960164,68,West,2023-05-22
534594,27,West,2022-07-14
433776,79,East,2024-11-17
831325,59,West,2020-04-23
400474,31,West,2023-09-21
124587,68,East,2022-05-21
898629,36,East,2023-03-27
925087,34,West,2022-09-02
489452,35,North,2023-02-14
484601,79,West,2020-09-30
582640,37,East,2021-08-22
848591,41,North,2020-11-17
355442,42,West,2021-07-05
669349,33,South,2021-09-21
693177,79,West,2024-12-19
509824,74,East,2023-08-09
177567,21,North,2022-08-07
244832,31,North,2023-10-06
550134,71,North,2022-07-18
412091,27,West,2021-12-17
919709,75,West,2020-04-10
884082,34,West,2022-03-09
780158,48,South,2024-08-30
881072,62,South,2020-03-07
834488,75,South,2025-01-20
477661,51,North,2020-08-03
552405,51,North,2024-05-25
437940,28,East,2020-10-17
257649,78,East,2022-10-27
814084,35,West,2023-05-17
222660,49,West,2022-03-31
423584,39,West,2020-10-10
811315,56,South,2020-10-01
106738,43,East,2023-10-18
683804,34,South,2020-06-12
189189,40,North,2024-02-15
573809,73,East,2022-09-10
972214,67,North,2021-04-05
308342,63,South,2020-05-01
827879,64,East,2023-09-05
988048,77,East,2020-04-16
618924,41,South,2024-03-22
495128,40,South,2020-05-11
498945,80,North,2022-01-26
973209,40,South,2023-07-19
253774,66,West,2021-11-28
253626,75,West,2021-11-18
774157,44,East,2023-01-25
701172,32,East,2024-06-28
657293,65,North,2023-04-16
497073,29,West,2020-02-25
408935,60,East,2023-12-27
990061,33,South,2024-03-19
859916,60,East,2021-09-06
876471,18,East,2024-06-07
360413,70,South,2022-12-22
112766,28,West,2024-08-01
717894,50,South,2021-03-26
786618,37,North,2021-06-01
710310,65,East,2023-03-13
987530,26,North,2022-01-24
578306,32,West,2022-01-26
611115,53,South,2021-06-25
445065,78,South,2021-09-17
417301,61,East,2024-03-22
617079,19,South,2023-05-18
595043,50,North,2023-01-23
876258,78,East,2024-09-22
676515,26,North,2022-06-09
708700,39,North,2023-08-24
959521,74,West,2021-06-25
451824,52,East,2024-03-08
277205,34,South,2023-02-05
622061,63,East,2023-05-23
195853,71,North,2020-10-19
270073,48,West,2023-01-26
945060,71,East,2024-11-02
662446,20,South,2021-11-14
736955,62,North,2022-10-15
261364,64,North,2021-03-29
690065,41,West,2021-10-09
279458,65,East,2024-05-21
231015,38,West,2024-02-28
138770,77,South,2020-09-21
483610,47,West,2020-05-08
627719,37,North,2020-03-07
882704,49,North,2024-06-06
737255,48,South,2020-11-11
887135,44,South,2024-03-20
550746,66,East,2022-02-25
261531,53,East,2023-03-23
800973,71,South,2023-08-07
945236,49,East,2024-04-06
680889,65,West,2022-01-14
112650,76,West,2024-07-09
217206,66,North,2021-05-28
511265,29,West,2020-08-17
773658,40,North,2020-07-30
335088,58,East,2025-01-21
198694,21,North,2024-04-20
129296,26,North,2020-05-18
546753,41,North,2024-02-02
824310,54,South,2021-04-20
320925,50,West,2021-11-29
153395,21,East,2021-02-06
132145,44,West,2022-07-22
453077,73,North,2024-05-25
587079,69,South,2023-12-01
271313,48,South,2023-10-14
970952,28,East,2024-09-03
942095,19,East,2020-12-22
786289,62,West,2024-09-01
985943,79,South,2021-01-27
255442,75,West,2025-01-09
477529,18,North,2020-07-22
777318,26,South,2020-02-28
465140,44,North,2021-06-24
504555,69,West,2023-07-11
887024,31,West,2024-10-17
131572,73,West,2023-08-12
731893,20,East,2025-01-14
577990,40,West,2023-09-30
285623,23,South,2023-01-07
469766,19,West,2020-05-05
224476,41,South,2022-03-25
155559,72,South,2021-06-14
455485,67,East,2020-04-27
974343,60,South,2023-06-26
568827,43,East,2020-08-29
507356,38,East,2022-09-03
806118,42,South,2020-12-29
128505,35,East,2022-01-17
189495,42,East,2024-02-27
342087,70,West,2024-02-07
626550,68,South,2024-01-09
674858,52,South,2024-06-15
115290,62,East,2022-06-26
899426,25,East,2022-11-24
249878,68,South,2021-01-11
845674,39,North,2022-07-05
604110,37,South,2024-07-18
404987,28,West,2021-12-02
648142,22,West,2022-12-25
715157,54,West,2023-11-13
784997,30,East,2024-04-14
382083,53,North,2024-03-07
667088,66,West,2020-08-12
