call_id,customer_id,call_date,issue_category,call_transcript
7460862,293093,2024-01-30,Payment Problem,Major analysis build bad voice listen discussion scientist science finish. poor service
1218276,344660,2024-05-05,Complaint,Remember you choice reflect become natural so policy.
4009456,235984,2024-02-16,General Inquiry,Management relationship painting almost politics hundred sell party some focus many.
7720697,157184,2024-06-07,General Inquiry,Measure realize or show job others campaign him.
7844407,605912,2024-11-30,Complaint,Provide star up seek alone every could check eight poor. very unhappy
6738369,464655,2024-10-21,Payment Problem,Ok itself ahead them pass daughter head or.
7928280,597196,2025-01-06,General Inquiry,Personal leader reach deal road early write everyone cell.
8024507,183148,2024-11-30,Payment Problem,Left trouble garden final concern prepare form rate.
4313911,542924,2024-10-25,Complaint,Across field threat already social go wish say different what.
5195392,675627,2024-10-20,Complaint,Pull authority whom short activity radio.
8712966,261463,2024-06-16,Account Issue,Goal kitchen list station child politics church hospital old eight record government.
5873055,836252,2024-05-04,Account Issue,Center will country above father worry sometimes themselves society.
9092644,945236,2024-11-29,General Inquiry,Week hospital front remember me represent capital wrong. cancel my account
1542529,305036,2024-10-02,Complaint,Interesting response focus last government total their level state attention know indeed.
2865545,193980,2025-01-19,Payment Problem,Add turn something kid floor there become lawyer.
7666434,233736,2024-04-14,General Inquiry,Resource popular sometimes fight between miss inside tree soldier current hair standard film.
8009171,204534,2024-02-11,Payment Problem,Say day teach answer well different hair reach would star bed. thinking of leaving
9381443,142791,2024-10-27,Payment Problem,Natural yeah specific team produce financial.
9792704,702630,2024-08-25,Account Issue,North single without kind know game increase month thus chance option. very unhappy
1256970,261463,2024-06-24,Complaint,Number cost east think Republican sort out experience lot thousand green.
5602431,345675,2024-10-10,Complaint,Plan just prepare personal according beautiful around should.
1674887,614792,2024-07-28,Payment Problem,War mention result parent item exactly.
7708648,182468,2024-07-20,Account Issue,Scientist available language worry offer design reality shake Mr. cancel my account
1992892,335096,2024-05-01,Complaint,Section beat help our real bit deep trouble away capital clear.
1843494,648730,2024-02-29,Complaint,Century or other eat hospital sport education very worker hold provide read order. very unhappy
4550010,223010,2024-08-20,General Inquiry,Add section nice pattern girl police each wonder.
4869891,353704,2024-08-06,Complaint,Though social little investment treatment quite front good study her who another.
9108616,853004,2024-04-01,Complaint,About teach director loss girl early if magazine theory future.
8004833,243890,2024-07-01,Payment Problem,View let different campaign man human moment box coach happy partner. very unhappy
4856579,656919,2024-10-16,Complaint,Kind ever any training return little town character.
6891340,687522,2024-10-29,General Inquiry,Maybe herself mission wonder Mrs huge drop. poor service
3483035,446019,2024-02-26,Complaint,Operation might task thus hot provide.
8867430,384334,2024-02-13,Payment Problem,Page able reality none here military. very unhappy
8464695,963764,2024-04-23,Account Issue,Respond be before vote own behind.
4975538,196906,2024-12-24,Account Issue,Major always audience financial consider same dream minute different management level.
6427808,924918,2024-10-02,Account Issue,Parent energy him say eat what without artist court particular value.
9704982,942181,2024-07-15,Complaint,Spend charge sister measure chair it piece century level capital.
7627263,706079,2024-05-17,Account Issue,Sea yeah authority especially anyone hold several we develop. cancel my account
6834837,112160,2024-02-08,Account Issue,Key compare life little oil notice sure many treat environmental far.
1767616,522549,2025-01-14,Account Issue,Sport institution baby prove cultural interesting lose fight call act write. thinking of leaving
9318006,509497,2024-11-30,Account Issue,Shake call wonder summer president someone artist performance lawyer cup.
1715356,876921,2024-06-06,Complaint,Officer early statement life line sense son.
6637936,847554,2024-02-29,Complaint,Artist win plan race pretty federal else avoid.
4366892,884188,2024-09-05,Complaint,Number campaign move would along miss sure. cancel my account
1646486,131030,2024-03-17,Payment Problem,Million leader hope affect subject scene teacher forward every south sort action property.
6303616,652184,2024-08-20,Account Issue,News ready west happy ability pick can tell future behavior.
5593365,982078,2024-07-01,Account Issue,Want course near attorney question property research find physical easy she a.
9833304,603503,2025-01-13,General Inquiry,Specific station woman study result pick give standard method himself different air. thinking of leaving
7997177,252865,2025-01-15,Complaint,Media pay your civil business scientist clear produce.
2744215,278222,2024-08-17,Account Issue,Authority carry between political especially garden benefit.
1618380,249726,2024-12-03,Account Issue,Democratic reality run unit consumer forward event hair improve feel.
5460693,108313,2024-10-29,General Inquiry,For sell information discuss have price government Mrs. very unhappy
3506037,737025,2024-12-02,Payment Problem,Travel goal grow common night could give laugh character term different economic.
3925870,576084,2024-03-01,Complaint,Billion effort which miss mean up notice into day life thought peace.
