customer_id,transaction_date,transaction_amount,product_category
599576,2023-04-12,642.96,Mortgage
434042,2024-08-14,2214.11,Credit Card
821072,2023-06-07,1039.65,Insurance
562577,2024-12-26,4479.97,Mortgage
746844,2024-05-18,3239.45,Insurance
835745,2023-07-31,4114.17,Loans
414040,2023-11-23,4105.48,Credit Card
961234,2024-11-03,2832.55,Insurance
537959,2024-12-05,527.03,Loans
302210,2023-03-04,4877.64,Savings
882216,2024-09-12,2706.49,Mortgage
957707,2023-07-26,333.82,Credit Card
335379,2024-05-20,298.26,Savings
458638,2024-07-08,1400.01,Savings
339194,2024-01-15,1738.11,Insurance
686565,2024-07-12,126.44,Loans
602329,2023-11-26,688.91,Savings
408485,2024-04-21,263.89,Insurance
279523,2024-09-08,2758.18,Mortgage
475658,2024-02-13,3635.03,Insurance
317467,2024-05-03,1301.07,Credit Card
529654,2023-08-02,3729.66,Savings
244430,2024-12-16,1072.13,Mortgage
748063,2024-05-23,2407.59,Savings
933737,2024-10-14,2787.97,Credit Card
105654,2024-06-10,2459.05,Mortgage
446903,2024-02-01,3568.34,Mortgage
648730,2023-12-02,4025.21,Savings
583768,2023-09-19,1168.15,Mortgage
692002,2023-02-08,4594.4,Loans
568948,2023-11-28,667.79,Credit Card
730247,2023-08-12,2441.87,Savings
994681,2024-06-20,4665.62,Savings
327631,2023-09-12,4908.98,Insurance
265880,2024-03-13,1942.3,Savings
623808,2024-06-29,1384.32,Loans
115624,2024-11-22,4975.24,Savings
868691,2023-09-18,2677.6,Mortgage
941313,2024-02-22,923.52,Insurance
428796,2023-03-03,4370.93,Mortgage
446769,2024-02-18,3362.3,Savings
859842,2024-06-25,446.25,Savings
780113,2023-04-07,836.32,Loans
142791,2024-11-03,4295.7,Mortgage
486469,2023-02-09,3018.07,Loans
900187,2024-11-26,2638.5,Insurance
570893,2024-04-06,1281.37,Loans
229237,2024-05-10,1915.04,Credit Card
264701,2024-01-03,4756.84,Savings
935608,2024-11-18,1902.23,Insurance
412646,2024-11-23,1807.6,Mortgage
842148,2024-12-12,4774.54,Mortgage
